UF;MUNICIPIO;TIPO;QUANTIDADE
AL;AGUA BRANCA;MOTOCICLETA;2339
AL;AGUA BRANCA;MOTONETA;140
AL;AGUA BRANCA;ONIBUS;31
AL;AGUA BRANCA;QUADRICICLO;0
AL;AGUA BRANCA;REBOQUE;24
AL;AGUA BRANCA;SEMI-REBOQUE;10
AL;AGUA BRANCA;SIDE-CAR;0
AL;AGUA BRANCA;OUTROS;0
AL;AGUA BRANCA;TRATOR ESTEI;0
AL;AGUA BRANCA;TRATOR RODAS;0
AL;AGUA BRANCA;TRICICLO;0
AL;AGUA BRANCA;UTILITARIO;4
AL;ANADIA;AUTOMOVEL;1082
AL;ANADIA;BONDE;0
AL;ANADIA;CAMINHAO;46
AL;ANADIA;CAMINHAO TRATOR;1
AL;ANADIA;CAMINHONETE;161
AL;ANADIA;CAMIONETA;92
AL;ANADIA;CHASSI PLATAF;0
AL;ANADIA;CICLOMOTOR;1
AL;ANADIA;MICRO-ONIBUS;35
AL;ANADIA;MOTOCICLETA;1171
AL;ANADIA;MOTONETA;190
AL;ANADIA;ONIBUS;48
AL;ANADIA;QUADRICICLO;0
AL;ANADIA;REBOQUE;49
AL;ANADIA;SEMI-REBOQUE;8
AL;ANADIA;SIDE-CAR;0
AL;ANADIA;OUTROS;0
AL;ANADIA;TRATOR ESTEI;0
AL;ANADIA;TRATOR RODAS;0
AL;ANADIA;TRICICLO;0
AL;ANADIA;UTILITARIO;6
AL;ARAPIRACA;AUTOMOVEL;34993
AL;ARAPIRACA;BONDE;0
AL;ARAPIRACA;CAMINHAO;3026
AL;ARAPIRACA;CAMINHAO TRATOR;463
AL;ARAPIRACA;CAMINHONETE;7167
AL;ARAPIRACA;CAMIONETA;1990
AL;ARAPIRACA;CHASSI PLATAF;1
AL;ARAPIRACA;CICLOMOTOR;1218
AL;ARAPIRACA;MICRO-ONIBUS;407
AL;ARAPIRACA;MOTOCICLETA;44690
AL;ARAPIRACA;MOTONETA;15108
AL;ARAPIRACA;ONIBUS;524
AL;ARAPIRACA;QUADRICICLO;0
AL;ARAPIRACA;REBOQUE;2049
AL;ARAPIRACA;SEMI-REBOQUE;892
AL;ARAPIRACA;SIDE-CAR;10
AL;ARAPIRACA;OUTROS;3
AL;ARAPIRACA;TRATOR ESTEI;0
AL;ARAPIRACA;TRATOR RODAS;0
AL;ARAPIRACA;TRICICLO;38
AL;ARAPIRACA;UTILITARIO;611
AL;ATALAIA;AUTOMOVEL;3715
AL;ATALAIA;BONDE;0
AL;ATALAIA;CAMINHAO;212
AL;ATALAIA;CAMINHAO TRATOR;13
AL;ATALAIA;CAMINHONETE;280
AL;ATALAIA;CAMIONETA;175
AL;ATALAIA;CHASSI PLATAF;0
AL;ATALAIA;CICLOMOTOR;68
AL;ATALAIA;MICRO-ONIBUS;42
AL;ATALAIA;MOTOCICLETA;1619
AL;ATALAIA;MOTONETA;137
AL;ATALAIA;ONIBUS;160
AL;ATALAIA;QUADRICICLO;0
AL;ATALAIA;REBOQUE;406
AL;ATALAIA;SEMI-REBOQUE;58
AL;ATALAIA;SIDE-CAR;0
AL;ATALAIA;OUTROS;0
AL;ATALAIA;TRATOR ESTEI;0
AL;ATALAIA;TRATOR RODAS;0
AL;ATALAIA;TRICICLO;2
AL;ATALAIA;UTILITARIO;16
AL;BARRA DE SANTO ANTONIO;AUTOMOVEL;953
AL;BARRA DE SANTO ANTONIO;BONDE;0
AL;BARRA DE SANTO ANTONIO;CAMINHAO;32
AL;BARRA DE SANTO ANTONIO;CAMINHAO TRATOR;2
AL;BARRA DE SANTO ANTONIO;CAMINHONETE;115
AL;BARRA DE SANTO ANTONIO;CAMIONETA;45
AL;BARRA DE SANTO ANTONIO;CHASSI PLATAF;0
AL;BARRA DE SANTO ANTONIO;CICLOMOTOR;153
AL;BARRA DE SANTO ANTONIO;MICRO-ONIBUS;6
AL;BARRA DE SANTO ANTONIO;MOTOCICLETA;795
AL;BARRA DE SANTO ANTONIO;MOTONETA;56
AL;BARRA DE SANTO ANTONIO;ONIBUS;25
AL;BARRA DE SANTO ANTONIO;QUADRICICLO;0
AL;BARRA DE SANTO ANTONIO;REBOQUE;67
AL;BARRA DE SANTO ANTONIO;SEMI-REBOQUE;14
AL;BARRA DE SANTO ANTONIO;SIDE-CAR;0
AL;BARRA DE SANTO ANTONIO;OUTROS;0
AL;BARRA DE SANTO ANTONIO;TRATOR ESTEI;0
AL;BARRA DE SANTO ANTONIO;TRATOR RODAS;0
AL;BARRA DE SANTO ANTONIO;TRICICLO;0
AL;BARRA DE SANTO ANTONIO;UTILITARIO;8
AL;BARRA DE SAO MIGUEL;AUTOMOVEL;844
AL;BARRA DE SAO MIGUEL;BONDE;0
AL;BARRA DE SAO MIGUEL;CAMINHAO;25
AL;BARRA DE SAO MIGUEL;CAMINHAO TRATOR;1
AL;BARRA DE SAO MIGUEL;CAMINHONETE;126
AL;BARRA DE SAO MIGUEL;CAMIONETA;45
AL;BARRA DE SAO MIGUEL;CHASSI PLATAF;0
