"Região Habilitação Atual,""UF Habilitação Atual"",""Sexo"",""Faixa Etária"",""Categoria"",""Qt. Condutor Histórico"""
"Centro-Oeste,""Distrito Federal"",""Feminino"",""41 a 50"",""E-Condutor Carreta"",""35"""
"Centro-Oeste,""Distrito Federal"",""Feminino"",""41 a 50"",""XB-Condutor Ciclomotor/Carro"",""1"""
"Centro-Oeste,""Distrito Federal"",""Feminino"",""51 a 60"",""A-Condutor Moto"",""115"""
"Centro-Oeste,""Distrito Federal"",""Feminino"",""51 a 60"",""AB-Condutor Moto/Carro"",""3.700"""
"Centro-Oeste,""Distrito Federal"",""Feminino"",""51 a 60"",""AC-Condutor Moto/Caminhão"",""52"""
"Centro-Oeste,""Distrito Federal"",""Feminino"",""51 a 60"",""AD-Condutor Moto/Ônibus"",""281"""
"Centro-Oeste,""Distrito Federal"",""Feminino"",""51 a 60"",""AE-Condutor Moto/Carreta"",""19"""
"Centro-Oeste,""Distrito Federal"",""Feminino"",""51 a 60"",""B-Condutor Carro"",""91.170"""
"Centro-Oeste,""Distrito Federal"",""Feminino"",""51 a 60"",""C-Condutor Caminhão"",""160"""
"Centro-Oeste,""Distrito Federal"",""Feminino"",""51 a 60"",""D-Condutor Ônibus"",""1.144"""
"Centro-Oeste,""Distrito Federal"",""Feminino"",""51 a 60"",""E-Condutor Carreta"",""17"""
"Centro-Oeste,""Distrito Federal"",""Feminino"",""61 a 70"",""A-Condutor Moto"",""7"""
"Centro-Oeste,""Distrito Federal"",""Feminino"",""61 a 70"",""AB-Condutor Moto/Carro"",""911"""
"Centro-Oeste,""Distrito Federal"",""Feminino"",""61 a 70"",""AC-Condutor Moto/Caminhão"",""12"""
"Centro-Oeste,""Distrito Federal"",""Feminino"",""61 a 70"",""AD-Condutor Moto/Ônibus"",""41"""
"Centro-Oeste,""Distrito Federal"",""Feminino"",""61 a 70"",""AE-Condutor Moto/Carreta"",""5"""
"Centro-Oeste,""Distrito Federal"",""Feminino"",""61 a 70"",""B-Condutor Carro"",""51.951"""
"Centro-Oeste,""Distrito Federal"",""Feminino"",""61 a 70"",""C-Condutor Caminhão"",""53"""
"Centro-Oeste,""Distrito Federal"",""Feminino"",""61 a 70"",""D-Condutor Ônibus"",""432"""
"Centro-Oeste,""Distrito Federal"",""Feminino"",""61 a 70"",""E-Condutor Carreta"",""7"""
"Centro-Oeste,""Distrito Federal"",""Feminino"",""71 a 80"",""AB-Condutor Moto/Carro"",""87"""
"Centro-Oeste,""Distrito Federal"",""Feminino"",""71 a 80"",""AD-Condutor Moto/Ônibus"",""5"""
"Centro-Oeste,""Distrito Federal"",""Feminino"",""71 a 80"",""AE-Condutor Moto/Carreta"",""1"""
"Centro-Oeste,""Distrito Federal"",""Feminino"",""71 a 80"",""B-Condutor Carro"",""21.423"""
"Centro-Oeste,""Distrito Federal"",""Feminino"",""71 a 80"",""C-Condutor Caminhão"",""10"""
"Centro-Oeste,""Distrito Federal"",""Feminino"",""71 a 80"",""D-Condutor Ônibus"",""80"""
"Centro-Oeste,""Distrito Federal"",""Feminino"",""81 a 90"",""AB-Condutor Moto/Carro"",""12"""
